original_name,detected_extension,matched_reference,normalized_reference,match_method,image_key,renamed_file,csv_path
5663.   #3,.png,5663,5663,prefixe-plus-long,5663,5663-001.png,backend/uploads/products/5663-001.png
5663.   #4,.png,5663,5663,prefixe-plus-long,5663,5663-002.png,backend/uploads/products/5663-002.png
5663.  #1,.jpg,5663,5663,prefixe-plus-long,5663,5663-003.jpg,backend/uploads/products/5663-003.jpg
5663.  #2,.jpg,5663,5663,prefixe-plus-long,5663,5663-004.jpg,backend/uploads/products/5663-004.jpg
5880.    #1,.png,5880,5880,prefixe-plus-long,5880,5880-001.png,backend/uploads/products/5880-001.png
5880.    #2,.png,5880,5880,prefixe-plus-long,5880,5880-002.png,backend/uploads/products/5880-002.png
5880.    #3,.png,5880,5880,prefixe-plus-long,5880,5880-003.png,backend/uploads/products/5880-003.png
5880.    #4,.png,5880,5880,prefixe-plus-long,5880,5880-004.png,backend/uploads/products/5880-004.png
5881.jpg,.jpg,5881,5881,prefixe-plus-long,5881,5881-001.jpg,backend/uploads/products/5881-001.jpg
6036.   #1,.jpg,6036,6036,prefixe-plus-long,6036,6036-001.jpg,backend/uploads/products/6036-001.jpg
6036.   #2,.jpg,6036,6036,prefixe-plus-long,6036,6036-002.jpg,backend/uploads/products/6036-002.jpg
6036.   #3,.jpg,6036,6036,prefixe-plus-long,6036,6036-003.jpg,backend/uploads/products/6036-003.jpg
6036.   #4,.jpg,6036,6036,prefixe-plus-long,6036,6036-004.jpg,backend/uploads/products/6036-004.jpg
6089_500.   #1,.png,6089,6089,prefixe-plus-long,6089500,6089-001.png,backend/uploads/products/6089-001.png
6089_500.   #2,.png,6089,6089,prefixe-plus-long,6089500,6089-002.png,backend/uploads/products/6089-002.png
6089_500.   #3,.png,6089,6089,prefixe-plus-long,6089500,6089-003.png,backend/uploads/products/6089-003.png
6089_500.   #4,.png,6089,6089,prefixe-plus-long,6089500,6089-004.png,backend/uploads/products/6089-004.png
6105_06.    #1,.jpg,6105,6105,prefixe-plus-long,610506,6105-001.jpg,backend/uploads/products/6105-001.jpg
6105_06.    #2,.jpg,6105,6105,prefixe-plus-long,610506,6105-002.jpg,backend/uploads/products/6105-002.jpg
6105_06.    #3,.jpg,6105,6105,prefixe-plus-long,610506,6105-003.jpg,backend/uploads/products/6105-003.jpg
6105_06.    #4,.jpg,6105,6105,prefixe-plus-long,610506,6105-004.jpg,backend/uploads/products/6105-004.jpg
6118 _red.   #1,.jpg,6118,6118,prefixe-plus-long,6118red,6118-001.jpg,backend/uploads/products/6118-001.jpg
6118 _red.   #2,.jpg,6118,6118,prefixe-plus-long,6118red,6118-002.jpg,backend/uploads/products/6118-002.jpg
6118 _red.   #3,.jpg,6118,6118,prefixe-plus-long,6118red,6118-003.jpg,backend/uploads/products/6118-003.jpg
6118 _red.   #4,.jpg,6118,6118,prefixe-plus-long,6118red,6118-004.jpg,backend/uploads/products/6118-004.jpg
6118_ black and white.   #1,.png,6118,6118,prefixe-plus-long,6118blackandwhite,6118-005.png,backend/uploads/products/6118-005.png
6118_ black and white.   #2,.png,6118,6118,prefixe-plus-long,6118blackandwhite,6118-006.png,backend/uploads/products/6118-006.png
6118_ black and white.   #3,.png,6118,6118,prefixe-plus-long,6118blackandwhite,6118-007.png,backend/uploads/products/6118-007.png
6118_ black and white.   #4,.png,6118,6118,prefixe-plus-long,6118blackandwhite,6118-008.png,backend/uploads/products/6118-008.png
6118_blue and white.   #1,.png,6118,6118,prefixe-plus-long,6118blueandwhite,6118-009.png,backend/uploads/products/6118-009.png
6118_blue and white.   #2,.png,6118,6118,prefixe-plus-long,6118blueandwhite,6118-010.png,backend/uploads/products/6118-010.png
6118_blue and white.   #3,.png,6118,6118,prefixe-plus-long,6118blueandwhite,6118-011.png,backend/uploads/products/6118-011.png
6118_blue and white.   #4,.png,6118,6118,prefixe-plus-long,6118blueandwhite,6118-012.png,backend/uploads/products/6118-012.png
6118_yellow and white.   #1,.png,6118,6118,prefixe-plus-long,6118yellowandwhite,6118-013.png,backend/uploads/products/6118-013.png
6118_yellow and white.   #2,.png,6118,6118,prefixe-plus-long,6118yellowandwhite,6118-014.png,backend/uploads/products/6118-014.png
6118_yellow and white.   #3,.png,6118,6118,prefixe-plus-long,6118yellowandwhite,6118-015.png,backend/uploads/products/6118-015.png
6118_yellow and white.   #4,.png,6118,6118,prefixe-plus-long,6118yellowandwhite,6118-016.png,backend/uploads/products/6118-016.png
6126.  #1,.png,6126,6126,prefixe-plus-long,6126,6126-001.png,backend/uploads/products/6126-001.png
6126.  #2,.png,6126,6126,prefixe-plus-long,6126,6126-002.png,backend/uploads/products/6126-002.png
6126.  #3,.png,6126,6126,prefixe-plus-long,6126,6126-003.png,backend/uploads/products/6126-003.png
6126.  #4,.png,6126,6126,prefixe-plus-long,6126,6126-004.png,backend/uploads/products/6126-004.png
6126_8+4.  #1,.png,6126,6126,prefixe-plus-long,612684,6126-005.png,backend/uploads/products/6126-005.png
6126_8+4.  #2,.png,6126,6126,prefixe-plus-long,612684,6126-006.png,backend/uploads/products/6126-006.png
6126_8+4.  #3,.png,6126,6126,prefixe-plus-long,612684,6126-007.png,backend/uploads/products/6126-007.png
6126_8+4.  #4,.png,6126,6126,prefixe-plus-long,612684,6126-008.png,backend/uploads/products/6126-008.png
6605.  #1,.png,6605,6605,prefixe-plus-long,6605,6605-001.png,backend/uploads/products/6605-001.png
6605.  #2,.jpg,6605,6605,prefixe-plus-long,6605,6605-002.jpg,backend/uploads/products/6605-002.jpg
6605.  #3,.jpg,6605,6605,prefixe-plus-long,6605,6605-003.jpg,backend/uploads/products/6605-003.jpg
6605.  #4,.jpg,6605,6605,prefixe-plus-long,6605,6605-004.jpg,backend/uploads/products/6605-004.jpg
6689.   #1,.jpg,6689,6689,prefixe-plus-long,6689,6689-001.jpg,backend/uploads/products/6689-001.jpg
6689.   #2,.jpg,6689,6689,prefixe-plus-long,6689,6689-002.jpg,backend/uploads/products/6689-002.jpg
6689.   #3,.jpg,6689,6689,prefixe-plus-long,6689,6689-003.jpg,backend/uploads/products/6689-003.jpg
6689.   #4,.jpg,6689,6689,prefixe-plus-long,6689,6689-004.jpg,backend/uploads/products/6689-004.jpg
6689_10+5.   #1,.png,6689/10+5,6689105,prefixe-plus-long,6689105,6689-10-5-001.png,backend/uploads/products/6689-10-5-001.png
6689_10+5.   #2,.png,6689/10+5,6689105,prefixe-plus-long,6689105,6689-10-5-002.png,backend/uploads/products/6689-10-5-002.png
6689_10+5.   #3,.png,6689/10+5,6689105,prefixe-plus-long,6689105,6689-10-5-003.png,backend/uploads/products/6689-10-5-003.png
6689_10+5.   #4,.png,6689/10+5,6689105,prefixe-plus-long,6689105,6689-10-5-004.png,backend/uploads/products/6689-10-5-004.png
7003.   #3,.jpg,7003,7003,prefixe-plus-long,7003,7003-001.jpg,backend/uploads/products/7003-001.jpg
7003.   #4,.png,7003,7003,prefixe-plus-long,7003,7003-002.png,backend/uploads/products/7003-002.png
7003.  #1,.jpg,7003,7003,prefixe-plus-long,7003,7003-003.jpg,backend/uploads/products/7003-003.jpg
7003.  #2,.jpg,7003,7003,prefixe-plus-long,7003,7003-004.jpg,backend/uploads/products/7003-004.jpg
7006    #4.png,.png,7006,7006,prefixe-plus-long,7006,7006-001.png,backend/uploads/products/7006-001.png
7006.   #1,.jpg,7006,7006,prefixe-plus-long,7006,7006-002.jpg,backend/uploads/products/7006-002.jpg
7006.   #2,.jpg,7006,7006,prefixe-plus-long,7006,7006-003.jpg,backend/uploads/products/7006-003.jpg
7006.   #3,.jpg,7006,7006,prefixe-plus-long,7006,7006-004.jpg,backend/uploads/products/7006-004.jpg
7036.   #2,.png,7036,7036,prefixe-plus-long,7036,7036-001.png,backend/uploads/products/7036-001.png
7036.   #3,.png,7036,7036,prefixe-plus-long,7036,7036-002.png,backend/uploads/products/7036-002.png
7036.   #4,.png,7036,7036,prefixe-plus-long,7036,7036-003.png,backend/uploads/products/7036-003.png
7036.  #1,.png,7036,7036,prefixe-plus-long,7036,7036-004.png,backend/uploads/products/7036-004.png
712.jpg,.jpg,712,712,prefixe-plus-long,712,712-001.jpg,backend/uploads/products/712-001.jpg
7295_96 (white).   #1,.png,7295/96,729596,prefixe-plus-long,729596white,7295-96-001.png,backend/uploads/products/7295-96-001.png
7295_96 (white).   #2,.png,7295/96,729596,prefixe-plus-long,729596white,7295-96-002.png,backend/uploads/products/7295-96-002.png
7295_96 (white).   #3,.png,7295/96,729596,prefixe-plus-long,729596white,7295-96-003.png,backend/uploads/products/7295-96-003.png
7295_96 (white).   #4,.png,7295/96,729596,prefixe-plus-long,729596white,7295-96-004.png,backend/uploads/products/7295-96-004.png
7295_96. (Blue).    #1,.png,7295/96,729596,prefixe-plus-long,729596blue,7295-96-005.png,backend/uploads/products/7295-96-005.png
7295_96. (Blue).    #2,.png,7295/96,729596,prefixe-plus-long,729596blue,7295-96-006.png,backend/uploads/products/7295-96-006.png
7295_96. (Blue).    #3,.png,7295/96,729596,prefixe-plus-long,729596blue,7295-96-007.png,backend/uploads/products/7295-96-007.png
7295_96. (Blue).    #4,.png,7295/96,729596,prefixe-plus-long,729596blue,7295-96-008.png,backend/uploads/products/7295-96-008.png
7297.   #1,.png,7297,7297,prefixe-plus-long,7297,7297-001.png,backend/uploads/products/7297-001.png
7297.   #2,.png,7297,7297,prefixe-plus-long,7297,7297-002.png,backend/uploads/products/7297-002.png
7297.   #3,.png,7297,7297,prefixe-plus-long,7297,7297-003.png,backend/uploads/products/7297-003.png
7297.   #4,.png,7297,7297,prefixe-plus-long,7297,7297-004.png,backend/uploads/products/7297-004.png
7301   #1.png,.png,7301,7301,prefixe-plus-long,7301,7301-001.png,backend/uploads/products/7301-001.png
7301 #2.png,.png,7301,7301,prefixe-plus-long,7301,7301-002.png,backend/uploads/products/7301-002.png
7301 #4.png,.png,7301,7301,prefixe-plus-long,7301,7301-003.png,backend/uploads/products/7301-003.png
7301 _ 80x180.   #1,.png,7301,7301,prefixe-plus-long,730180x180,7301-004.png,backend/uploads/products/7301-004.png
7301 _ 80x180.   #2,.png,7301,7301,prefixe-plus-long,730180x180,7301-005.png,backend/uploads/products/7301-005.png
7301 _ 80x180.   #3,.png,7301,7301,prefixe-plus-long,730180x180,7301-006.png,backend/uploads/products/7301-006.png
7301 _ 80x180.   #4,.png,7301,7301,prefixe-plus-long,730180x180,7301-007.png,backend/uploads/products/7301-007.png
7301.   #3,.png,7301,7301,prefixe-plus-long,7301,7301-008.png,backend/uploads/products/7301-008.png
7301.jpg,.jpg,7301,7301,prefixe-plus-long,7301,7301-009.jpg,backend/uploads/products/7301-009.jpg
7302 _80x180.   #1,.png,7302,7302,prefixe-plus-long,730280x180,7302-001.png,backend/uploads/products/7302-001.png
7302 _80x180.   #2,.png,7302,7302,prefixe-plus-long,730280x180,7302-002.png,backend/uploads/products/7302-002.png
7302 _80x180.   #3,.png,7302,7302,prefixe-plus-long,730280x180,7302-003.png,backend/uploads/products/7302-003.png
7302 _80x180.   #4_,.png,7302,7302,prefixe-plus-long,730280x180,7302-004.png,backend/uploads/products/7302-004.png
7302.    #1,.jpg,7302,7302,prefixe-plus-long,7302,7302-005.jpg,backend/uploads/products/7302-005.jpg
7302.    #2,.jpg,7302,7302,prefixe-plus-long,7302,7302-006.jpg,backend/uploads/products/7302-006.jpg
