original_name,detected_extension,image_key,reason
8140.png,.png,8140,aucune
8142.png,.png,8142,aucune
8148.jpg,.jpg,8148,aucune
8154 (black).jpg,.jpg,8154black,aucune
8154 (white).jpg,.jpg,8154white,aucune
8155 (black).jpg,.jpg,8155black,aucune
8155 (white).jpg,.jpg,8155white,aucune
8157 et 8158.jpg,.jpg,8157et8158,aucune
8158 (black).jpg,.jpg,8158black,aucune
8158 (white).jpg,.jpg,8158white,aucune
8159 (white).jpg,.jpg,8159white,aucune
8160 (yellow).jpg,.jpg,8160yellow,aucune
8167_2-1-2 (white).jpg,.jpg,8167212white,aucune
8169_2-1-2 (black)(1).jpg,.jpg,8169212black1,aucune
8169_2-1-2 (black).jpg,.jpg,8169212black,aucune
8169_2-1-2 (white).jpg,.jpg,8169212white,aucune
8173_2-1-2 (black).jpg,.jpg,8173212black,aucune
8173_2-1-2 (white).jpg,.jpg,8173212white,aucune
8189_2-1-2.jpg,.jpg,8189212,aucune
8191.jpg,.jpg,8191,aucune
8191_2-1-2.jpg,.jpg,8191212,aucune
8192.jpg,.jpg,8192,aucune
8193.jpg,.jpg,8193,aucune
8193_2-1-2.jpg,.jpg,8193212,aucune
8195.jpg,.jpg,8195,aucune
8195_2-1-2.jpg,.jpg,8195212,aucune
8196.jpg,.jpg,8196,aucune
8197_2-1-2.jpg,.jpg,8197212,aucune
8426•.jpg,.jpg,8426,aucune
8428.jpg,.jpg,8428,aucune
8436.jpg,.jpg,8436,aucune
868 usb(1).   #2,.png,868usb1,aucune
868 usb(1).   #3,.png,868usb1,aucune
868 usb(1).   #4,.png,868usb1,aucune
868 usb.   #1,.png,868usb,aucune
868 usb.   #2,.png,868usb,aucune
868 usb.   #3,.png,868usb,aucune
868 usb.   #4,.png,868usb,aucune
868 usb_black  #1.png,.png,868usbblack,aucune
868_90.png,.png,86890,aucune
9010.  #1,.png,9010,aucune
9010.  #2,.jpg,9010,aucune
9010.  #3,.jpg,9010,aucune
9010.  #4,.jpg,9010,aucune
9115.  #1,.jpg,9115,aucune
9115.  #2,.jpg,9115,aucune
9115.  #3,.jpg,9115,aucune
9115.  #4,.jpg,9115,aucune
920.jpg,.jpg,920,aucune
952.png,.png,952,aucune
9830.  #1,.png,9830,aucune
9830.  #2,.png,9830,aucune
9830.  #3,.png,9830,aucune
9830.  #4,.png,9830,aucune
9831.   #1,.png,9831,aucune
9831.   #2,.png,9831,aucune
9831.   #3,.png,9831,aucune
9831.   #4,.png,9831,aucune
999.jpg,.jpg,999,aucune
A 001.jpg,.jpg,a001,aucune
A 23.png,.png,a23,aucune
A 28_.png,.png,a28,aucune
A 29_.jpg,.jpg,a29,aucune
A 30_.png,.png,a30,aucune
A 38.png,.png,a38,aucune
A264.   #1,.png,a264,aucune
A264.   #2,.png,a264,aucune
A264.   #3,.png,a264,aucune
A264.   #4,.png,a264,aucune
B 4004.  #1,.png,b4004,aucune
B 4004.  #2,.jpg,b4004,aucune
B 4004.  #3,.jpg,b4004,aucune
B 4004.  #4,.jpg,b4004,aucune
B 4024.   #1,.png,b4024,aucune
B 4024.   #2,.jpg,b4024,aucune
B 4024.   #3,.jpg,b4024,aucune
B 4024.   #4,.jpg,b4024,aucune
B 4026.  #1,.jpg,b4026,aucune
B 4026.  #2,.jpg,b4026,aucune
B 4026.  #3,.png,b4026,aucune
B 4026.  #4,.jpg,b4026,aucune
C 919.jpg,.jpg,c919,aucune
c 922 A.jpg,.jpg,c922a,aucune
c 926.png,.png,c926,aucune
C 932.png,.png,c932,aucune
C922.jpg,.jpg,c922,aucune
cj 1323.png,.png,cj1323,aucune
cj 1359.png,.png,cj1359,aucune
cost 005.png,.png,cost005,aucune
CT 232.png,.png,ct232,aucune
d 004.  #1,.jpg,d004,aucune
d 004.  #2,.jpg,d004,aucune
d 004.  #3,.jpg,d004,aucune
d 004.  #4,.jpg,d004,aucune
d 205.   #1,.png,d205,aucune
d 205.   #2,.jpg,d205,aucune
d 205.   #3,.jpg,d205,aucune
d 205.   #4,.jpg,d205,aucune
d 206.   #1,.jpg,d206,aucune
d 206.   #2,.png,d206,aucune
d 206.   #3,.jpg,d206,aucune
d 206.   #4,.jpg,d206,aucune
d 224.  #1,.jpg,d224,aucune
d 224.  #2,.jpg,d224,aucune
d 224.  #3,.jpg,d224,aucune
d 224.  #4,.jpg,d224,aucune
d 233. #1,.jpg,d233,aucune
d 233. #2,.jpg,d233,aucune
d 233. #3,.jpg,d233,aucune
d 233. #4,.jpg,d233,aucune
D 9696_6 bk.  #1,.png,d96966bk,aucune
D 9696_6 bk.  #2,.png,d96966bk,aucune
D 9696_6 bk.  #3,.png,d96966bk,aucune
D 9696_6 bk.  #4,.png,d96966bk,aucune
D 9696_6 GD.  #1,.jpg,d96966gd,aucune
D 9696_6 GD.  #2,.jpg,d96966gd,aucune
