original_name,detected_extension,image_key,reason
SC 126.png,.png,sc126,aucune
SC 149(1).png,.png,sc1491,aucune
SC 149.png,.png,sc149,aucune
SC 150.png,.png,sc150,aucune
SC 150_.png,.png,sc150,aucune
SR 1167_65   #1.png,.png,sr116765,aucune
SR 1167_65   #2.png,.png,sr116765,aucune
SR 1167_65   #3.png,.png,sr116765,aucune
SR 1167_65   #4.png,.png,sr116765,aucune
SR 4013_60 or SR 4013_80 #1.png,.png,sr401360orsr401380,aucune
SR 4013_60 or SR 4013_80 #2.png,.png,sr401360orsr401380,aucune
SR 4013_60 or SR 4013_80 #3.png,.png,sr401360orsr401380,aucune
SR 4013_60 or SR 4013_80 #4.png,.png,sr401360orsr401380,aucune
SS 016.png,.png,ss016,aucune
ST 045.png,.png,st045,aucune
T 2203_black   #1.png,.png,t2203black,aucune
T 2203_black   #2.png,.png,t2203black,aucune
T 2203_black  #3.png,.png,t2203black,aucune
T 2203_black  #4.png,.png,t2203black,aucune
T 2203_white.  #1,.png,t2203white,aucune
T 2203_white.  #2,.png,t2203white,aucune
T 2203_white.  #3,.png,t2203white,aucune
T 2203_white.  #4,.png,t2203white,aucune
T 2258_white.  #1,.png,t2258white,aucune
T 2258_white.  #2,.png,t2258white,aucune
T 2258_white.  #3,.png,t2258white,aucune
T 2258_white.  #4,.png,t2258white,aucune
T2258_black.   #1,.png,t2258black,aucune
T2258_black.   #2,.png,t2258black,aucune
T2258_black.   #3,.png,t2258black,aucune
T2258_black.   #4,.png,t2258black,aucune
Unknown.jpg,.jpg,unknown,aucune
Unknown_.png,.png,unknown,aucune
